190211 161540.883|CONFIG|Thread-5|setFileHandlers|Now logging to C:\Users\user\Desktop\pc2-9.4.1\bin\logs directory.
190211 161540.883|INFO|Thread-5|info|
190211 161540.883|INFO|Thread-5|info|Version 9.4.1 20170125 (Wednesday, January 25th 2017 02:54 UTC) Java ver 1.8.0_181 build 3850 Windows 10 10.0 (amd64) 
190211 161540.884|INFO|Thread-5|info|Login: team1 (aka team1)
190211 161540.884|INFO|Thread-5|startLog|Working directory is C:\Users\user\Desktop\pc2-9.4.1\bin
190211 161540.884|INFO|Thread-5|startLog|Process id is 19852@DESKTOP-0005
190211 161540.884|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
190211 161540.894|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
190211 161541.062|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
190211 161541.063|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #13 SERVER0 @ site 1 -> TEAM1 @ site 1
190211 161541.063|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #13 SERVER0 @ site 1 -> TEAM1 @ site 1
